监测点ID,日期,时间,余氯(mg/L),电导率(µS/cm),pH值,氧化还原电位(mV),浊度(NTU)
监测点001,2024-03-11,08:00,2.5,450.0,7.2,650.0,1.8
监测点001,2024-03-11,09:00,2.3,445.0,7.1,645.0,1.7
监测点002,2024-03-11,08:00,3.0,520.0,7.5,680.0,2.1
监测点002,2024-03-11,09:00,2.8,515.0,7.4,675.0,2.0
监测点003,2024-03-11,08:00,1.8,380.0,6.9,620.0,1.5
监测点003,2024-03-11,09:00,1.7,375.0,6.8,615.0,1.4
监测点004,2024-03-11,08:00,2.2,410.0,7.3,635.0,1.9
监测点004,2024-03-11,09:00,2.0,405.0,7.2,630.0,1.8
监测点005,2024-03-11,08:00,2.7,480.0,7.4,660.0,2.2
监测点005,2024-03-11,09:00,2.5,475.0,7.3,655.0,2.1
